"","gene_id","gene_symbol","number_of_mirs_targeting","TF","gene_fxn_pigm","kd_pt_fA6"
"","36668","CG10249",12,NA,NA,NA
"","326144","CG31477",7,NA,NA,NA
"","32056","rtv",22,NA,NA,NA
"","35761","CG11198",17,NA,NA,NA
"","31779","CG15347",8,NA,NA,NA
"","41225","Mical",23,NA,NA,NA
"","37164","CG42351",12,NA,NA,NA
"","41676","CG14367",14,NA,NA,NA
"","38823","SMSr",27,NA,NA,NA
"","36488","CG42321",55,NA,NA,NA
"","37585","CG17807",5,NA,NA,NA
"","246468","CG30121",25,NA,NA,NA
"","32123","CG2446",27,NA,NA,NA
"","39450","Hip1",34,NA,NA,NA
"","37285","CG11208",14,NA,NA,NA
"","33764","TotM",13,NA,NA,NA
"","40195","NPFR76F",19,NA,NA,NA
"","5740147","CG17159",43,NA,NA,NA
"","33988","Rab30",30,NA,NA,NA
"","38369","CG11486",8,NA,NA,NA
"","42158","CG7785",28,NA,NA,NA
"","42567","Caki",33,NA,NA,NA
"","35288","lok",12,NA,NA,NA
"","36848","Syn2",30,NA,NA,NA
"","40960","CG9667",4,NA,NA,NA
"","38411","CG12016",44,NA,NA,NA
"","30998","svr",74,NA,NA,NA
"","33140","CG17598",18,NA,NA,NA
"","41176","CG18542",52,NA,NA,NA
"","39180","dpr10",32,NA,NA,NA
"","31707","CG10777",51,NA,NA,NA
"","39285","Sgs8",2,NA,NA,NA
"","41246","CG12814",30,NA,NA,NA
"","32454","CG9106",11,NA,NA,NA
"","37301","CG11200",9,NA,NA,NA
"","39587","Mpcp",24,NA,NA,NA
"","34024","santa-maria",14,NA,NA,NA
"","34896","cul-3",8,NA,NA,NA
"","37511","CG42257",24,NA,NA,NA
"","39570","D",22,NA,NA,NA
"","39682","CrebA",35,NA,NA,NA
"","3346238","form3",21,NA,NA,NA
"","34908","sna",26,NA,NA,NA
"","37345","exu",32,NA,NA,NA
"","33262","dock",38,NA,NA,NA
"","41640","CG8790",20,NA,NA,NA
"","39435","Tsf2",10,NA,NA,NA
"","35167","CG15172",6,NA,NA,NA
"","39608","CG9384",41,NA,NA,NA
"","33133","CG14613",15,NA,NA,NA
"","33201","U2af38",13,NA,NA,NA
"","43844","Sox102F",26,"y","D","L"
"","32213","CG11085",30,NA,NA,NA
"","31101","pck",15,NA,NA,NA
"","34952","PRL-1",46,NA,NA,NA
"","45931","spir",40,NA,NA,NA
"","34013","CG5149",31,NA,NA,NA
"","40840","CG1988",10,NA,NA,NA
"","41773","His4r",8,NA,NA,NA
"","46015","tutl",27,NA,NA,NA
"","45928","shi",46,NA,NA,NA
"","43386","CG9986",35,NA,NA,NA
"","44160","sw",28,NA,NA,NA
"","42578","fit",10,NA,NA,NA
"","43506","CG1972",3,NA,NA,NA
"","35083","CG5758",34,NA,NA,NA
"","40502","CG32459",7,NA,NA,NA
"","34519","SCAR",32,NA,NA,NA
"","38468","CG12605",41,NA,NA,NA
"","117353","Cct1",21,NA,NA,NA
"","318128","CG32625",8,NA,NA,NA
"","34175","U26",10,NA,NA,NA
"","3772349","Tyler",26,NA,NA,NA
"","48986","boca",11,NA,NA,NA
"","42704","CG7031",20,NA,NA,NA
"","39593","CG9628",12,NA,NA,NA
"","39882","CG9669",3,NA,NA,NA
"","35200","pigeon",12,NA,NA,NA
"","32083","dlg1",53,NA,NA,NA
"","44548","lola",137,NA,NA,NA
"","41762","CG14850",4,NA,NA,NA
"","41154","CG16789",16,NA,NA,NA
"","47594","aPKC",38,NA,NA,NA
"","43241","Tsp97E",40,NA,NA,NA
"","40566","CG14650",12,NA,NA,NA
"","36826","Vha44",36,NA,NA,NA
"","35353","CG9335",36,NA,NA,NA
"","40679","Vha26",42,NA,NA,NA
"","33367","CG7337",37,NA,NA,NA
"","39481","CG11253",12,NA,NA,NA
"","34425","CG5168",11,NA,NA,NA
"","31410","Bteb2",1,NA,NA,NA
"","34834","CG15286",4,NA,NA,NA
"","39160","iPLA2-VIA",20,NA,NA,NA
"","45012","Vha68-2",39,NA,NA,NA
"","38206","CG7971",46,NA,NA,NA
"","50253","CG12821",32,NA,NA,NA
"","318095","CG32576",25,NA,NA,NA
"","44679","ergic53",23,NA,NA,NA
"","33249","CG12506",8,NA,NA,NA
"","41627","Su(var)3-7",34,NA,NA,NA
"","40825","Ccp84Aa",10,NA,NA,NA
"","318046","mthl14",14,NA,NA,NA
"","35237","CG10188",36,NA,NA,NA
"","8674108","CG42514",15,NA,NA,NA
"","40373","Syx6",15,NA,NA,NA
"","32517","CG8944",56,NA,NA,NA
"","35238","CG10186",30,NA,NA,NA
"","36363","Lac",29,NA,NA,NA
"","5740788","CG34382",15,NA,NA,NA
"","43417","CG14521",13,NA,NA,NA
"","40514","Mes2",36,NA,NA,NA
"","32840","CG6470",10,NA,NA,NA
"","35902","CG8213",20,NA,NA,NA
"","35526","Act42A",11,NA,NA,NA
"","41403","CG14715",19,NA,NA,NA
"","326148","CG31523",38,NA,NA,NA
"","36966","qkr54B",41,NA,NA,NA
"","40756","Osi2",12,NA,NA,NA
"","43719","rod",1,NA,NA,NA
"","40664","Itp-r83A",5,NA,NA,NA
"","34166","fy",26,NA,NA,NA
"","43654","CG31012",20,NA,NA,NA
"","326127","CG31223",5,NA,NA,NA
"","37106","GstE1",8,NA,NA,NA
"","43662","Sap-r",40,NA,NA,NA
"","39168","CG6707",37,NA,NA,NA
"","38244","R",38,NA,NA,NA
"","40776","Osi19",14,NA,NA,NA
"","38145","scf",18,NA,NA,NA
"","35697","CG1358",25,NA,NA,NA
"","8674055","CG42611",44,"n","L","U"
"","3772559","CG14681",42,NA,NA,NA
"","35523","mle",35,NA,NA,NA
"","47121","dup",14,NA,NA,NA
"","36048","CG2264",27,NA,NA,NA
"","4379854","CG34114",24,NA,NA,NA
"","34505","Stam",17,NA,NA,NA
"","38521","CG1268",15,NA,NA,NA
"","34434","CG13142",12,NA,NA,NA
"","37687","ord",20,NA,NA,NA
"","42239","CstF-64",6,NA,NA,NA
"","34288","CG13116",14,NA,NA,NA
"","41550","Vha55",39,NA,NA,NA
"","36410","CG12374",8,NA,NA,NA
"","31386","CG11436",16,NA,NA,NA
"","31323","CG13021",22,NA,NA,NA
"","43841","unc-13",30,NA,NA,NA
"","33305","CG4896",3,NA,NA,NA
"","36425","CG17019",27,NA,NA,NA
"","34354","CG5734",18,NA,NA,NA
"","32682","CG4928",16,NA,NA,NA
"","36793","CG8443",22,NA,NA,NA
"","32212","CG2543",12,NA,NA,NA
"","34212","Tsp29Fb",12,NA,NA,NA
"","39385","RhoGAP68F",23,NA,NA,NA
"","33473","Syt1",47,NA,NA,NA
"","32511","CG8191",18,NA,NA,NA
"","42463","CG17271",32,NA,NA,NA
"","35085","Socs36E",30,NA,NA,NA
"","40487","CG6838",10,NA,NA,NA
"","39561","CG32138",18,NA,NA,NA
"","41538","CG18549",23,NA,NA,NA
"","3885573","Octbeta3R",33,NA,NA,NA
"","35820","Lcp4",4,NA,NA,NA
"","42351","CG6300",16,NA,NA,NA
"","33137","l(1)G0196",21,NA,NA,NA
"","34927","Gli",35,NA,NA,NA
"","39720","CG6151",46,NA,NA,NA
"","33510","CG17224",5,NA,NA,NA
"","36974","CG4853",32,NA,NA,NA
"","34968","fzy",7,NA,NA,NA
"","36129","CG7220",33,NA,NA,NA
"","43780","CG1674",30,NA,NA,NA
"","31056","CG3655",28,NA,NA,NA
"","50044","CG17193",31,NA,NA,NA
"","33602","bowl",26,NA,NA,NA
"","40036","Chmp1",7,NA,NA,NA
"","42298","CG11779",32,NA,NA,NA
"","39387","Nrx-IV",40,NA,NA,NA
"","40448","CG7139",18,NA,NA,NA
"","5740664","CG40228",27,NA,NA,NA
"","42975","CG31121",7,NA,NA,NA
"","34843","ppk",23,NA,NA,NA
"","43587","Mlc2",41,NA,NA,NA
"","40513","CG12768",12,NA,NA,NA
"","50315","CG15212",13,NA,NA,NA
"","53581","Gclc",20,NA,NA,NA
"","35368","betaInt-nu",21,NA,NA,NA
"","35376","Nhe2",11,NA,NA,NA
"","34920","CG18480",27,NA,NA,NA
"","42655","CG5326",17,NA,NA,NA
"","40221","Clc",25,NA,NA,NA
"","42473","CG3822",32,NA,NA,NA
"","318866","CG31639",9,NA,NA,NA
"","39849","tra",21,NA,NA,NA
"","43423","CG1951",16,NA,NA,NA
"","2769004","CG33232",44,NA,NA,NA
"","261626","CG31495",22,NA,NA,NA
"","33951","CG17378",34,NA,NA,NA
"","37558","CG6044",10,NA,NA,NA
"","43315","dsd",43,NA,NA,NA
"","38469","scrt",23,"y","D","L"
"","33524","CG3523",20,NA,NA,NA
"","39329","Pi3K68D",50,NA,NA,NA
"","31938","Yp2",13,NA,NA,NA
"","38002","uzip",29,NA,NA,NA
"","37459","CG15673",20,NA,NA,NA
"","42863","sec10",4,NA,NA,NA
"","37230","hts",70,NA,NA,NA
"","39502","CG10191",11,NA,NA,NA
"","42596","how",65,NA,NA,NA
"","31804","CG11284",19,NA,NA,NA
"","41181","hyd",15,NA,NA,NA
"","37822","Sox14",20,NA,NA,NA
"","42357","CG4662",41,NA,NA,NA
"","38321","dos",32,NA,NA,NA
"","32645","Axs",30,NA,NA,NA
"","41073","E(var)3-9",11,NA,NA,NA
"","32813","os",32,NA,NA,NA
"","40872","CG1227",13,NA,NA,NA
"","47874","mit(1)15",29,NA,NA,NA
"","41062","pyd",58,NA,NA,NA
"","32259","CG4351",19,NA,NA,NA
"","318872","CG34126",40,NA,NA,NA
"","41113","CG8121",12,NA,NA,NA
"","41569","Past1",3,NA,NA,NA
"","40538","CG1092",12,NA,NA,NA
"","40254","CG13248",29,NA,NA,NA
"","32607","TH1",27,NA,NA,NA
"","35696","scra",15,NA,NA,NA
"","32602","U2af50",7,NA,NA,NA
"","41401","CG42327",36,NA,NA,NA
"","35795","CG2183",21,NA,NA,NA
"","33991","Mnn1",51,NA,NA,NA
"","37949","Mmp1",53,NA,NA,NA
"","34543","l(2)gd1",21,NA,NA,NA
"","32045","Hsp60",15,NA,NA,NA
"","34481","Nup107",5,NA,NA,NA
"","42860","CG6129",25,NA,NA,NA
"","41363","pros",28,NA,NA,NA
"","41217","CG34360",66,NA,NA,NA
"","34171","grk",20,NA,NA,NA
"","31267","CG2712",10,NA,NA,NA
"","36104","G-oalpha47A",41,NA,NA,NA
"","35890","CG8243",24,NA,NA,NA
"","38700","Ets65A",33,NA,NA,NA
"","8674066","CG42492",36,NA,NA,NA
"","35944","CG8029",22,NA,NA,NA
"","42074","CG5265",4,NA,NA,NA
"","40016","skl",46,NA,NA,NA
"","43867","A3-3",45,NA,NA,NA
"","31873","CG17754",37,NA,NA,NA
"","36992","Rab4",36,NA,NA,NA
"","35072","CG5674",35,NA,NA,NA
"","45970","Pk17E",25,NA,NA,NA
"","34646","CG17218",19,NA,NA,NA
"","36224","CG12384",11,NA,NA,NA
"","3885565","CG17471",8,NA,NA,NA
"","36110","trsn",6,NA,NA,NA
"","35016","Cas",9,NA,NA,NA
"","41187","CG12948",9,NA,NA,NA
"","34645","CG6583",23,NA,NA,NA
"","35975","Wnt2",5,NA,NA,NA
"","41863","CG6218",24,NA,NA,NA
"","33291","CG4577",40,NA,NA,NA
"","40682","asl",3,NA,NA,NA
"","40017","CG4306",14,NA,NA,NA
"","45039","Sox100B",12,NA,NA,NA
"","37801","CG2812",5,NA,NA,NA
"","41342","CG6672",31,NA,NA,NA
"","32862","CG12609",20,NA,NA,NA
"","38451","Awh",34,NA,NA,NA
"","5740572","CG34193",22,NA,NA,NA
"","35771","lig",64,NA,NA,NA
"","42755","CG17083",10,NA,NA,NA
"","2768886","Sdic4",21,NA,NA,NA
"","42973","CG11089",21,NA,NA,NA
"","37991","CG3770",17,NA,NA,NA
"","38424","sty",47,NA,NA,NA
"","5740205","CG34261",15,NA,NA,NA
"","32993","CG12702",16,NA,NA,NA
"","31185","Pgd",10,NA,NA,NA
"","42249","Cha",27,NA,NA,NA
"","32836","GalNAc-T2",31,NA,NA,NA
"","43757","ferrochelatase",10,NA,NA,NA
"","34662","Oatp33Eb",10,NA,NA,NA
"","39557","Hsc70Cb",23,NA,NA,NA
"","40055","Ugt",18,NA,NA,NA
"","33058","hydra",12,NA,NA,NA
"","32330","CG9941",14,NA,NA,NA
"","40471","CG11426",18,NA,NA,NA
"","37317","CG13428",2,NA,NA,NA
"","32444","Cyp4s3",18,NA,NA,NA
"","33219","crq",28,NA,NA,NA
"","42831","CG5854",23,NA,NA,NA
"","34673","pdm2",12,NA,NA,NA
"","3772382","cp309",11,NA,NA,NA
"","42978","CG10845",17,NA,NA,NA
"","33667","CG3355",22,NA,NA,NA
"","32947","car",37,NA,NA,NA
"","36698","CG8155",37,NA,NA,NA
"","41938","Sap47",49,NA,NA,NA
"","50060","CG17618",59,NA,NA,NA
"","34934","Tektin-A",10,NA,NA,NA
"","36656","HPS",9,NA,NA,NA
"","35259","Lar",46,NA,NA,NA
"","318946","CG31798",14,NA,NA,NA
"","53577","Jafrac2",12,NA,NA,NA
"","40003","mus304",7,NA,NA,NA
"","34882","ck",33,NA,NA,NA
"","40202","obst-J",7,NA,NA,NA
"","40288","CG13253",43,NA,NA,NA
"","41112","CG8866",28,NA,NA,NA
"","32786","CG7536",19,NA,NA,NA
"","37170","CG15096",29,NA,NA,NA
"","35702","CG17985",22,NA,NA,NA
"","2768661","Fer1",22,NA,NA,NA
"","40410","CG7158",13,NA,NA,NA
"","41665","CG10841",4,NA,NA,NA
"","42092","CREG",24,NA,NA,NA
"","36336","CG8841",15,NA,NA,NA
"","35998","Uba1",21,NA,NA,NA
"","33965","wee",12,NA,NA,NA
"","34655","CG5446",13,NA,NA,NA
"","31572","CG12219",8,NA,NA,NA
"","3772432","Adhr",42,NA,NA,NA
"","326156","CG31743",35,NA,NA,NA
"","37397","CG4038",8,NA,NA,NA
"","42445","H",54,NA,NA,NA
"","41027","CG8036",6,NA,NA,NA
"","41641","poly",18,NA,NA,NA
"","36387","spt4",28,NA,NA,NA
"","38456","Ubi-p63E",16,NA,NA,NA
"","40434","CG7145",42,NA,NA,NA
"","34368","CG5676",12,NA,NA,NA
"","41075","CG31100",13,NA,NA,NA
"","32961","CG14221",8,NA,NA,NA
"","36492","cbs",17,NA,NA,NA
"","32249","CG15719",9,NA,NA,NA
"","246518","CG30271",17,NA,NA,NA
"","41107","Vps16A",12,NA,NA,NA
"","40620","cno",31,NA,NA,NA
"","43786","CG2177",38,NA,NA,NA
"","35411","CG3305",17,NA,NA,NA
"","39634","CG12310",11,NA,NA,NA
"","36150","CG6751",17,NA,NA,NA
"","41625","Ace",31,NA,NA,NA
"","38907","CG13675",29,NA,NA,NA
"","2768981","Trl",63,NA,NA,NA
"","34007","Wnt4",26,NA,NA,NA
"","37632","CG13532",45,NA,NA,NA
"","3772232","CG6783",35,NA,NA,NA
"","41711","CG14358",8,NA,NA,NA
"","42062","Keap1",12,NA,NA,NA
"","35715","CG1399",47,NA,NA,NA
"","43099","CG4730",8,NA,NA,NA
"","34997","VhaSFD",25,NA,NA,NA
"","35418","Df31",32,NA,NA,NA
"","36278","CG8290",32,NA,NA,NA
"","53586","Dhap-at",20,NA,NA,NA
"","37021","CG4996",42,NA,NA,NA
"","45894","lds",22,NA,NA,NA
"","33627","ft",22,NA,NA,NA
"","41305","CG4511",29,NA,NA,NA
"","36678","chn",51,NA,NA,NA
"","39307","CG32091",24,NA,NA,NA
"","43473","CG2310",12,NA,NA,NA
"","31708","CG10778",12,NA,NA,NA
"","32334","CG11134",5,NA,NA,NA
"","36068","CG18011",25,NA,NA,NA
"","42279","CG6005",14,NA,NA,NA
"","34696","CG12404",7,NA,NA,NA
"","41379","PGRP-LB",12,NA,NA,NA
"","50068","CG33111",23,NA,NA,NA
"","32470","Scamp",44,NA,NA,NA
"","39810","CG4925",19,NA,NA,NA
"","34660","Oatp33Ea",21,NA,NA,NA
"","36501","CG13330",14,NA,NA,NA
"","33407","CG17012",5,NA,NA,NA
"","42139","CG7713",16,NA,NA,NA
"","35378","Dap160",33,NA,NA,NA
"","326219","Sk2",21,NA,NA,NA
"","37834","Adk2",17,NA,NA,NA
"","49968","Caps",49,NA,NA,NA
"","37547","CG5819",9,NA,NA,NA
"","42452","TyrR",23,NA,NA,NA
"","34009","wg",36,NA,NA,NA
"","37985","pain",28,NA,NA,NA
"","42047","CG3534",23,NA,NA,NA
"","37657","CG30194",10,NA,NA,NA
"","326151","pgant5",43,NA,NA,NA
"","35911","CG13743",45,NA,NA,NA
"","39281","CG6140",8,NA,NA,NA
"","39483","SRm160",12,NA,NA,NA
"","35000","CG17904",11,NA,NA,NA
"","37401","CG4050",20,NA,NA,NA
"","35881","Ggamma1",41,NA,NA,NA
"","43351","Mes-4",9,NA,NA,NA
"","37246","Rep",24,NA,NA,NA
"","43240","CG6330",14,NA,NA,NA
"","31523","CG12236",28,NA,NA,NA
"","33398","CG10880",19,NA,NA,NA
"","32267","CG4332",23,NA,NA,NA
"","42181","CG7183",10,NA,NA,NA
"","36741","Poxn",19,NA,NA,NA
"","318141","CG32652",12,NA,NA,NA
"","31646","inx2",30,NA,NA,NA
"","42817","mbc",29,NA,NA,NA
"","39884","sina",29,NA,NA,NA
"","42235","CG14301",18,NA,NA,NA
"","32986","CG12531",1,NA,NA,NA
"","318030","CG32440",3,NA,NA,NA
"","34974","chif",42,NA,NA,NA
"","32478","Grip128",4,NA,NA,NA
"","34126","Snx6",18,NA,NA,NA
"","34554","CG6287",15,NA,NA,NA
"","35228","CG10195",16,NA,NA,NA
"","44258","ps",40,NA,NA,NA
"","44126","AlstR",32,NA,NA,NA
"","43283","pll",12,NA,NA,NA
"","43277","CG31064",28,NA,NA,NA
"","39914","Papst2",10,NA,NA,NA
"","37232","CalpA",37,NA,NA,NA
"","31945","CG34104",27,NA,NA,NA
"","42846","spas",38,NA,NA,NA
"","31043","CG3704",22,NA,NA,NA
"","34000","CG4496",27,NA,NA,NA
"","5740122","CG34334",5,NA,NA,NA
"","31800","Crag",22,NA,NA,NA
"","31869","mxc",11,NA,NA,NA
"","43294","Hmu",11,NA,NA,NA
"","43035","CG11852",5,NA,NA,NA
"","2768881","CG9132",30,NA,NA,NA
"","35727","CG12824",21,NA,NA,NA
"","31445","CG4198",10,NA,NA,NA
"","41222","CG5359",23,NA,NA,NA
"","36794","CG8445",12,NA,NA,NA
"","36520","CG6220",5,NA,NA,NA
"","37774","usnp",10,NA,NA,NA
"","42870","mRpS24",3,NA,NA,NA
"","37154","CG18604",42,NA,NA,NA
"","34542","Reps",42,NA,NA,NA
"","33263","drongo",34,NA,NA,NA
"","44786","nerfin-1",50,NA,NA,NA
"","36353","Cpr49Ag",5,NA,NA,NA
"","42676","CG6954",28,NA,NA,NA
"","36694","CG34123",43,NA,NA,NA
"","32473","shtd",12,NA,NA,NA
"","35622","Tsp42El",19,NA,NA,NA
"","33678","CG3244",28,NA,NA,NA
"","32752","par-6",32,NA,NA,NA
"","34616","CG6734",36,NA,NA,NA
"","31472","CG34434",5,NA,NA,NA
"","43212","Tb",3,NA,NA,NA
"","37859","enok",11,NA,NA,NA
"","2768670","dpr9",22,NA,NA,NA
"","43946","wb",43,NA,NA,NA
"","38116","bab1",48,"y","L","D"
"","31772","CG11190",12,NA,NA,NA
"","32127","CG15221",20,NA,NA,NA
"","33399","mio",11,NA,NA,NA
"","35811","CG2127",10,NA,NA,NA
"","40851","CG10098",31,NA,NA,NA
"","317834","CG32039",17,NA,NA,NA
"","4379852","CG34107",5,NA,NA,NA
"","53427","ACXB",7,NA,NA,NA
"","31196","CG3457",9,NA,NA,NA
"","37635","CG3501",20,NA,NA,NA
"","35492","CG10417",16,NA,NA,NA
"","31168","moody",37,NA,NA,NA
"","33957","sens-2",48,NA,NA,NA
"","33391","CG15382",18,NA,NA,NA
"","42259","CG14298",18,NA,NA,NA
"","36712","CG8179",47,NA,NA,NA
"","34099","CG7466",43,NA,NA,NA
"","37304","CG8920",15,NA,NA,NA
"","32469","CG18210",35,NA,NA,NA
"","38987","CG5978",13,NA,NA,NA
"","34338","Pen",11,NA,NA,NA
"","43043","CG10425",11,NA,NA,NA
"","31245","CG9904",15,NA,NA,NA
"","38065","trh",34,NA,NA,NA
"","40551","CG1090",33,NA,NA,NA
"","36965","CG6522",31,NA,NA,NA
"","36899","CG15614",34,NA,NA,NA
"","44631","Ag5r",7,NA,NA,NA
"","37875","CG3362",5,NA,NA,NA
"","40865","CG1288",13,NA,NA,NA
"","38178","CG7852",52,"n","D","L"
"","42376","CG4462",32,NA,NA,NA
"","37393","CG10527",16,NA,NA,NA
"","37468","pirk",25,NA,NA,NA
"","43323","Mlc1",28,NA,NA,NA
"","42325","CG31221",48,NA,NA,NA
"","34292","zf30C",15,NA,NA,NA
"","42891","Orct",6,NA,NA,NA
"","42809","CG10217",21,NA,NA,NA
"","48309","mus101",12,NA,NA,NA
"","35987","CG12929",6,NA,NA,NA
"","2769000","CG13923",10,NA,NA,NA
"","40459","Csp",41,NA,NA,NA
"","3885567","Dyrk3",34,NA,NA,NA
"","59235","Nplp3",9,NA,NA,NA
"","41876","CG5073",32,NA,NA,NA
"","246595","CG30403",33,NA,NA,NA
"","43318","CG5611",20,NA,NA,NA
"","41694","Nsf2",10,NA,NA,NA
"","32401","CG15890",27,NA,NA,NA
"","43079","MED28",3,NA,NA,NA
"","41967","CG6126",4,NA,NA,NA
"","31789","otu",24,NA,NA,NA
"","43464","CG31427",20,NA,NA,NA
"","39750","mib1",9,NA,NA,NA
"","3346149","upd3",32,NA,NA,NA
"","46187","sinu",38,"n","D","L"
"","3885594","CG33998",20,NA,NA,NA
"","40640","CG16708",13,NA,NA,NA
"","36903","CG6665",16,NA,NA,NA
"","34134","wol",9,NA,NA,NA
"","42740","CG13829",11,NA,NA,NA
"","33507","okr",19,NA,NA,NA
"","38085","Vti1",31,NA,NA,NA
"","40438","DNApol-eta",11,NA,NA,NA
"","38494","Ras64B",42,NA,NA,NA
"","35698","CG30494",19,NA,NA,NA
"","41179","trbd",46,NA,NA,NA
"","40777","Osi20",22,NA,NA,NA
"","40549","hkb",19,NA,NA,NA
"","59247","zwilch",13,NA,NA,NA
"","32447","CG9095",23,NA,NA,NA
"","43343","CG5017",12,NA,NA,NA
"","38622","Lkr",37,NA,NA,NA
"","2768686","CG33494",33,NA,NA,NA
"","38886","CG8042",6,NA,NA,NA
"","40439","CG14562",15,NA,NA,NA
"","41425","CG17360",41,NA,NA,NA
"","36391","CG8785",7,NA,NA,NA
"","33560","CG2774",23,NA,NA,NA
"","34145","CG14274",40,NA,NA,NA
"","2768908","CG3857",15,NA,NA,NA
"","42652","oa2",18,NA,NA,NA
"","5740414","Snoo",76,NA,NA,NA
"","34187","CG13090",5,NA,NA,NA
"","41390","wkd",34,NA,NA,NA
"","49228","mod(mdg4)",102,NA,NA,NA
"","38180","Cct2",11,NA,NA,NA
"","41458","KLHL18",14,NA,NA,NA
"","39947","CG18265",54,NA,NA,NA
"","42649","T-cp1",10,NA,NA,NA
"","31540","Tsp5D",32,NA,NA,NA
"","39445","Klc",29,NA,NA,NA
"","40980","mRpL1",2,NA,NA,NA
"","36849","DAT",30,NA,NA,NA
"","33166","CG11377",23,NA,NA,NA
"","37565","CG10344",22,NA,NA,NA
"","43640","PH4alphaPV",7,NA,NA,NA
"","32631","mbt",28,NA,NA,NA
"","38077","CG3402",32,NA,NA,NA
"","41090","CG11033",25,NA,NA,NA
"","43165","Dak1",25,NA,NA,NA
"","35044","CG15141",15,NA,NA,NA
"","37156","CG15087",6,NA,NA,NA
"","38772","CG14823",18,NA,NA,NA
"","32152","wisp",21,NA,NA,NA
"","49241","rec",39,NA,NA,NA
"","31698","p115",13,NA,NA,NA
"","37006","CG6459",19,NA,NA,NA
"","38873","CG32369",15,NA,NA,NA
"","40229","CG32226",27,NA,NA,NA
"","36750","Mlf",28,NA,NA,NA
"","36674","pcs",14,NA,NA,NA
"","37330","CG11180",8,NA,NA,NA
"","39658","CG6888",3,NA,NA,NA
"","36368","CG12370",28,NA,NA,NA
"","36883","CG5550",10,NA,NA,NA
"","43197","CG6490",47,NA,NA,NA
"","43795","zfh2",25,NA,NA,NA
"","34625","CG5317",20,NA,NA,NA
"","33015","CG9576",28,NA,NA,NA
"","43547","Cog7",7,NA,NA,NA
"","39498","CG14107",6,NA,NA,NA
"","34956","crp",34,NA,NA,NA
"","42465","CG17272",3,NA,NA,NA
"","38161","312",17,NA,NA,NA
"","33121","CG1678",9,NA,NA,NA
"","34636","Rab6",28,NA,NA,NA
"","34881","Su(H)",29,NA,NA,NA
"","31236","CG13759",6,NA,NA,NA
"","3355102","Scp1",23,NA,NA,NA
"","246397","sprt",11,NA,NA,NA
"","35813","pdm3",26,"y","L","D"
"","32335","CG11151",3,NA,NA,NA
"","317963","CG32298",11,NA,NA,NA
"","44811","E(bx)",38,NA,NA,NA
"","37973","Dll",40,NA,NA,NA
"","39158","Gap1",35,NA,NA,NA
"","41025","p",10,NA,NA,NA
"","49580","Invadolysin",26,NA,NA,NA
"","30973","cin",45,NA,NA,NA
"","39255","CG42575",25,NA,NA,NA
